task description, priority, assigned_to, status
build features: acceleration profile,,,UNASSIGNED
build feautres: speed profile,,,UNASSIGNED
build feautures: length,,,UNASSIGNED
Evaluation Algorithm,,,UNASSIGNED
Data Clean,,,UNASSIGNED
Smoothing,,,UNASSIGNED
